Manufacturer,Brand,Product Name,Model Number,Input Power Type,Fixture Maximum Ambient Temp,Width,Height,Diameter,Warranty,Length,Date Qualified,Reported Minimum Input Voltage,Reported Maximum Input Voltage,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Minimum Photosynthetic Photon Flux,Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Photon Flux (280-800nm),Reported Photon Efficacy (280-800nm),Tested Photosynthetic Photon Efficacy (400-700nm),Tested Photosynthetic Photon Flux (400-700nm),Tested Photon Flux Blue (400-500nm),Tested Photon Flux Green (500-600nm),Tested Photon Flux Red (600-700nm),Tested Photon Flux Far Red (700-800nm),Tested Photon Flux (280-800nm),Tested Photon Efficacy (280-800nm),Reported Input Wattage,Reported Default Input Wattage,Reported Minimum Input Wattage,Reported Power Factor,Reported Total Harmonic Distortion,Tested Input Wattage,Tested Voltage for Minimum Efficacy,Tested Power Factor,Tested Total Harmonic Distortion,Tested DC Input Current,Dimming and Control Method to the Product
Hawthorne Gardening Company,Agrolux,WEGA Plus ECO LT,HGC906317,AC,35,11,6.5,,5,12.0 in,2024-08-21,220,400,No,TRUE,3.71,2022,277.9,2021.7,96,2,1924,11,,,3.71,2022,96,2,1924,11,,,545,545,77,0.996,4,544.8,220,0.953,9.1,,"Power Line Communication, No"
Hawthorne Gardening Company,Agrolux,WEGA Max,HGC906390,AC,35,13,4.72,,5,21.6 in,2024-07-10,220,400,No,TRUE,3.69,3915,527.3,3914.7,198,3,3714,21,,,3.69,3915,198,3,3714,20,,,1060,1060,148.2,0.997,4,1060,220,0.997,4,,Power Line Communication Adapter
P.L. Light Systems Canada Inc.,PARFX,,"PARFX BALENSBEAM R95:B5 (230W, 208-400V, PLC)",AC,35,2.36,4.45,,5,49.2 in,2024-06-24,208,400,No,,3.69,862,0,861.9,40,0,822,3,,,,,,,,,,,233.5,233.5,0,0.961,18.1,,,,,,Power Line Communication (PLC)
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 800 DRB_LB 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.69,800,200,800,46,,754,,800,3.69,3.68,796,44,1,751,4,801,3.68,217,217,54.3,0.95,15,217.6,277,1,9.2,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 800 DRB_LB 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.69,800,200,800,46,,754,,800,3.69,3.68,796,44,1,751,4,801,3.68,217,217,54.3,0.95,15,217.6,277,1,9.2,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRW_LB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.67,547,191.3,546.7,44,30,476,3,550,3.69,3.64,543,44,30,469,3,547,3.67,149,149,52.2,0.95,15,149.1,200,1,9.6,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRW_LB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.67,547,191.3,546.7,44,30,476,3,550,3.69,3.64,543,44,30,469,3,547,3.67,149,149,52.2,0.95,15,149.1,200,1,9.6,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2850 DRB_LB 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.65,2850,285,2850,157,,2693,,2850,3.65,,,,,,,,,780,780,78.4,0.98,15,,,,,,"Power Line Communication, No"
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra,ParFX Ultra R90:W5:B5,AC,35,11.65,3.66,,5,24.0 in,2023-11-30,277,400,No,TRUE,3.65,2761,0,2760.9,135,135,2493,14,,,3.65,2761,135,135,2493,14,,,757,757,0,0.993,8,757.2,277,0.993,8.4,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1900 DRB_LB 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.65,1900,190,1900,110,,1790,,1900,3.65,,,,,,,,,520,520,49.6,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1900 DRB_LB 200-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.65,1900,190,1900,110,,1790,,1900,3.65,,,,,,,,,520,520,50.4,0.98,15,,,,,,"Power Line Communication, No"
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra Plus,ParFX Ultra Plus R90:W5:B5,AC,35,13.98,4.13,,5,22.8 in,2023-11-30,277,400,No,TRUE,3.64,3788,0,3788.3,183,181,3427,25,,,3.64,3788,183,181,3427,25,,,1041,1041,0,0.997,8,1041,277,0.997,8.3,,0-10V Other Protocol
Hawthorne Gardening Company,Agrolux,WEGA Plus,HGC906378,AC,35,10.63,4.72,,5,24.0 in,2024-07-22,220,400,No,TRUE,3.64,2842,0,2841.5,117,159,2568,27,,,3.64,2842,117,159,2568,27,,,782,782,<2W,0.996,5,781.6,220,0.955,10.8,,"0-10V Other Protocol, Power Line Communication (PLC) to 0-10V with internal controller, NA"
Hawthorne Gardening Company,Agrolux,WEGA Plus,HGC906439,AC,35,10.63,4.72,,5,24.0 in,2024-12-19,347,400,No,TRUE,3.64,2741,0,2740.8,131,145,2467,27,,,,,,,,,,,752,752.1,<2W,0.972,12,,,,,,"0-10V Other Protocol, Power Line Communication (PLC) to 0-10V with internal controller, NA"
GML Solutions Ltd.,Grand Master LEDs,Tarantula Greenhouse 1000 Red HV,GMLL1000W2I1C11E2,AC,40,11.89,5.48,,5,31.2 in,2024-02-21,277,480,No,TRUE,3.63,3645,0,3645,206,7,3433,11,,,3.63,3645,206,6,3433,11,,,1003,1003,0,0.996,5,1003,277,0.996,4.7,,0-10V IEC60929 Annex E
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1850 DRW_LB 200-400V 1.3D SB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,200,400,No,TRUE,3.63,1850,185,1850,107,102,1641,,1850,3.63,3.67,1866,107,107,1652,12,1880,3.7,510,510,49,0.98,15,508.2,200,0.99,10,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1850 DRW_LB 200-400V 1.3D SB SP,AC,40,9.4,3.5,,5,28.8 in,2024-07-31,200,400,No,TRUE,3.63,1850,185,1850,107,102,1641,,1850,3.63,3.67,1866,107,107,1652,12,1880,3.7,510,510,49,0.98,15,508.2,200,0.99,10,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 4280 3.7 RWLB 277-400V [CC2,WC2] SB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.62,4237,0,4280,212,212,3814,43,4280,3.66,3.69,4134,187,191,3755,31,4171,3.73,1170,1170,0,0.98,10,1118,277,1,8.3,,"Zigbee 3.0, Zigbee - Manufacturer Specific, Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 3800 3.7 RWLB 277-400V [CC2,WC2] SB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.62,3762,0,3800,188,188,3386,38,3800,3.65,,,,,,,,,1040,1040,0,0.98,10,,,,,,"Zigbee 3.0, Zigbee - Manufacturer Specific, Power Line Communication, No"
Fluence Bioengineering,Fluence,VYPR 3p,"VR-3P-HR9-[LVG,HVG]-[S,B]",AC,35,2.91,3.23,,5,42.0 in,2020-11-25,120,480,No,TRUE,3.6,2370,,,89,4,2277,10,,,3.29,2177,80,3,2093,8,,,659,659,1,0.969,6,661.3,120,0.966,7.7,,0-10V Other Protocol
"LLW Enterprise, LLC",VOLTGROW,,VGL3-TPL2-H,AC,40,45,4.72,,5,45.6 in,2023-01-19,347,480,No,TRUE,3.6,2363,,,80,1,2282,10,,,3.6,2363,80,1,2282,10,,,656,656,0,0.969,14,655.86,347,0.969,13.9,,0-10V IEC60929 Annex E
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Linear,GPL TLL 800 DRB_LB 277-400V 2.2D,AC,40,2,3,,5,600.0 in,2022-04-25,277,400,No,TRUE,3.6,859,,,45,1,813,3,,,3.6,859,45,1,813,3,,,238,230,24.5,0.981,10,238.39,277,0.981,10.6,,"Power Line Communication, No"
MechaTronix,MechaTronix,Horticultural Lighting Series,CoolStack MAX DYNAMIC 5RB+HW+FR NB,AC,30,6.69,6.65,,10,39.6 in,2024-06-27,277,480,Yes,TRUE,3.59,4498,0,4498,204,1,4294,18,4514,3.61,3.59,4498,204,1,4294,18,4514,3.61,1251,1251,0,0.981,10,1251.4,277,0.982,9.2,,Bluetooth - Manufacturer Specific
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2800 DRB_LB 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.59,2800,280,2800,154,,2646,,2800,3.59,3.66,2765,143,2,2620,7,2772,3.67,780,780,78.3,0.98,15,754.9,400,0.98,13,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRB_HB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.59,550,192.5,550,121,,429,,550,3.59,3.55,541,115,1,425,2,544,3.57,153,153,53.6,0.95,15,152.4,200,1,9.7,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRB_HB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.59,550,192.5,550,121,,429,,550,3.59,3.55,541,115,1,425,2,544,3.57,153,153,53.6,0.95,15,152.4,200,1,9.7,,Power Line Commincation
GML Solutions Ltd.,Grand Master LEDs,Tarantula Greenhouse 730 RED HV,GMLL0730W1I1C11E2,AC,40,3.55,2.76,,5,44.4 in,2024-02-22,277,480,No,TRUE,3.58,2626,0,2626,144,4,2478,7,,,3.58,2626,144,4,2478,7,,,733,733,0,0.994,10,733.2,277,0.994,10.1,,0-10V IEC60929 Annex E
"LLW Enterprise, LLC",VOLTGROW,,VGL3-TPL2-L,AC,40,45,4.72,,5,45.6 in,2023-01-19,120,277,No,TRUE,3.58,2366,,,80,1,2286,9,,,3.58,2366,80,1,2286,9,,,661,661,0,0.984,7,661.25,120,0.984,7.5,,0-10V IEC60929 Annex E
Hawthorne Gardening Company,Agrolux,WEGA Plus ECO LT,HGC906365,AC,35,11,6.5,,5,12.0 in,2024-08-21,220,400,No,TRUE,3.57,1926,270.8,1926.1,85,100,1743,16,,,3.57,1926,85,100,1743,17,,,540,540,77,0.997,4,539.7,220,0.99,9.1,,"Power Line Communication, No"
Hawthorne Gardening Company,Agrolux,WEGA Plus ECO LT,HGC906365,AC,35,11,6.5,,5,12.0 in,2024-08-21,220,400,No,TRUE,3.57,1926,270.8,1926.1,85,100,1743,16,,,3.57,1926,85,100,1743,17,,,540,540,77,0.997,4,539.7,220,0.99,9.1,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRW_MB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.57,547,191.3,546.7,77,30,443,3,550,3.59,3.73,540,57,1,482,2,542,3.75,153,153,53.6,0.95,15,144,200,1,9.4,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRW_MB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.57,547,191.3,546.7,77,30,443,3,550,3.59,3.73,540,57,1,482,2,542,3.75,153,153,53.6,0.95,15,144,200,1,9.4,,Power Line Commincation
Hawthorne Gardening Company,Agrolux,WEGA Max,HGC906394,AC,35,13,4.72,,5,21.6 in,2024-07-10,220,400,No,TRUE,3.56,3756,513,3756.1,166,197,3396,32,,,3.56,3756,166,197,3396,32,,,1056,1056,148.2,0.996,4,1056,220,0.996,4.5,,Power Line Communication Adapter
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1850 DRW2_LB 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.56,1850,185,1850,93,167,1591,,1850,3.56,,,,,,,,,520,520,50.7,0.98,15,,,,,,"Power Line Communication, No"
P.L. Light Systems Canada Inc.,PARFX,,"PARFX BALENSBEAM R90:W5:B5 (230W,208-400V, PLC)",AC,35,2.36,4.45,,5,49.2 in,2024-06-24,208,400,No,TRUE,3.56,822,0,822,33,32,757,5,,,,,,,,,,,231.1,231.1,0,0.96,17.5,,,,,,Power Line Communication (PLC)
P.L. Light Systems Canada Inc.,PARFX,,"PARFX BALENSBEAM R95:B5 (230W, 208-400V,DIGITAL)",AC,35,2.36,4.45,,5,48.0 in,2024-06-24,208,400,No,,3.56,817,,,38,1,778,5,,,3.56,817,38,1,778,5,,,229.8,,,0.923,18.2,229.8,208,0.923,15,,
Hawthorne Gardening Company,Agrolux,WEGA Max,HGC906446,AC,35,12.99,5.51,,5,21.6 in,2024-12-05,347,400,No,TRUE,3.55,3670,643.8,3670.3,172,196,3306,29,,,3.55,3670,172,196,3306,29,,,1035,1035,165.3,0.952,11,1035,347,0.952,11.3,,"0-10V Other Protocol, PLC (Power Line Communication) to internal 0-10V Adapter, NA"
HLG,Horticulture Lighting Group,HLG Greenhouse PRO 350 HE HV,HLG Greenhouse PRO 350 HE HV,AC,40,6.75,4.75,,5,28.8 in,2024-02-26,277,277,No,TRUE,3.55,1112,0,1111.8,125,157,832,25,,,3.55,1112,125,157,832,25,,,313,313,0,0.963,8,313,277,0.963,8.3,,0-10V Other Protocol
Dutch Lighting Innovations,DLI VERTEX,DLI VERTEX,EPLI Vertex 1050W 347-400V R90G5B5 MEDIUM WD,AC,25,10.24,5.12,,5,37.2 in,2024-07-08,347,400,No,TRUE,3.54,3758,0,3757.5,182,191,3387,24,,,,,,,,,,,1062,1062,0,0.978,4,,,,,,Digital Dim based on RS485
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2650 DRB_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.53,2650,265,2650,154,,2496,,2650,3.53,,,,,,,,,750,750,66.6,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2275 DRB_LB 277-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.53,2275,227.5,2275,132,,2143,,2275,3.53,,,,,,,,,645,645,57.9,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2275 DRB_LB 277-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,277,400,No,TRUE,3.53,2275,227.5,2275,132,,2143,,2275,3.53,,,,,,,,,645,645,59,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 4160 3.6 RWLB 277-400V [CC2,WC2] QB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.52,4118,0,4160,206,206,3707,42,4160,3.56,,,,,,,,,1170,1170,0,0.98,10,,,,,,"Zigbee - Manufacturer Specific, Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 3700 3.6 RWLB 277-400V [CC2,WC2] QB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.52,3663,0,3700,183,183,3297,37,3700,3.56,3.61,3621,184,187,3250,21,3647,3.64,1040,1040,0,0.98,10,1002,277,1,8.7,,"Zigbee - Manufacturer Specific, Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3650 DRB_LB 277V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,277,277,No,TRUE,3.51,3650,365,3650,201,,3449,,3650,3.51,,,,,,,,,1040,1040,90.9,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3650 DRB_LB 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.51,3650,365,3650,201,,3449,,3650,3.51,,,,,,,,,1040,1040,96.3,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3650 DRB_LB 347V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,347,347,No,TRUE,3.51,3650,365,3650,201,,3449,,3650,3.51,,,,,,,,,1040,1040,92.9,0.98,15,,,,,,"Power Line Communication, No"
Hawthorne Gardening Company,Agrolux,WEGA Plus,HGC906499,AC,35,10.63,4.72,,5,24.0 in,2024-12-19,347,400,No,TRUE,3.51,2650,0,2650.4,132,143,2378,19,,,3.51,2650,131,143,2378,19,,,756,756.1,<2W,0.954,11,756.1,347,0.954,11,,"0-10V Other Protocol, Power Line Communication (PLC) to 0-10V with internal controller, NA"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1825 DRW_LB 200-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.51,1825,182.5,1825,106,100,1619,,1825,3.51,,,,,,,,,520,520,50.1,0.98,15,,,,,,"Power Line Communication, No"
Fluence Bioengineering,FLUENCE,VYNE,VN-A-25-DR9-MVG-X,AC,45,2.6,3.5,,5,98.4 in,2022-04-19,200,400,No,,3.51,312,,,17,0,296,0,,,3.51,312.43,16.7,0.32,295.45,0.43,,,89,89,0,0.9,20,88.97,200,0.9472,12.44,,
Dutch Lighting Innovations,DLI,DLI ZENITH,DLI Zenith 1050W 347-400V R90G5B5 DEEP WD,AC,25,8.27,5.12,,5,36.0 in,2024-06-25,347,400,No,TRUE,3.5,3746,0,3745.7,176,191,3381,23,,,,,,,,,,,1069,1069,0,0.99,5.3,,,,,,DALI
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2800 DRW_LB 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.5,2800,280,2800,154,154,2492,,2800,3.5,,,,,,,,,800,800,80.4,0.98,15,,,,,,"Power Line Communication, No"
Dutch Lighting Innovations,DLI VERTEX,DLI VERTEX,EPLI Vertex 780W 347-400V R90G5B5 MEDIUM WD,AC,25,10.24,5.12,,5,32.4 in,2024-07-08,347,400,No,TRUE,3.5,2774,0,2773.6,134,140,2501,16,,,3.5,2774,134,140,2501,16,,,791.7,791.7,0,0.968,12.8,791.7,347,0.974,13.5,,Digital Dim based on RS485
Fluence Bioengineering,Fluence,VYPR 3x,"VR-3X-HR9-[LVG,HVG]-[S,B]",AC,40,2.91,3.23,,5,24.0 in,2021-09-09,120,480,No,TRUE,3.5,1266,,,46,2,1217,5,,,3.3,1115,39,1,1074,4,,,361,361,1,0.94,11,338.2,120,0.926,11.5,,0-10V Other Protocol
Acuity Brands Lighting,Verjure,Arize Integral,VAIS L96 PUR SEFY XVOLT GZN,AC,40,2.3,2,,5,93.6 in,2022-05-03,277,480,No,,3.49,324,,,35,1,288,1,324,3.49,3.49,324,35,0,288,1,,,93,93,93,0.965,10,92.88,480,0.965,,,
Dutch Lighting Innovations,DLI VERTEX,DLI VERTEX,EPLI Vertex 870W 347-400V R90G5B5 MEDIUM WD,AC,25,10.24,5.12,,5,32.4 in,2024-07-08,347,400,No,TRUE,3.48,3073,0,3073.2,146,150,2779,17,,,3.48,3073,146,150,2779,17,,,881.9,881.9,0,0.974,13.5,881.9,347,0.968,12.8,,Digital Dim based on RS485
Hawthorne Gardening Company,Agrolux,WEGA Plus 760,HGC906408,AC,35,10.63,4.72,,5,24.0 in,2023-05-31,220,400,,TRUE,3.48,2646,,,135,117,2395,23,,,,,,,,,,,761,761,2,0.997,10,,,,,,"0-10V ANSI C137.1 (9V), Power Line Communication (PLC) to 0-10V with internal controller"
MechaTronix,MechaTronix,Horticultural Lighting Series,CoolStack MAX DYNAMIC 5RB+HW+FR HC,AC,30,6.69,7.87,,10,39.6 in,2024-06-27,277,480,Yes,TRUE,3.47,4329,0,4329,197,1,4132,19,4346,3.48,3.47,4329,197,1,4132,19,4346,3.48,1249,1249,0,0.981,10,1249.2,277,0.982,9.2,,Bluetooth - Manufacturer Specific
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra Plus,ParFX Ultra Plus R80:W5:B7:FR8,AC,35,13.98,4.13,,5,22.8 in,2023-12-20,277,400,No,TRUE,3.47,3590,0,3589.9,254,196,3143,356,,,,,,,,,,,1036,1036,0,0.997,8,,,,,,0-10V Other Protocol
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP9-1K-STD-JVG-RST1-S",AC,45,11.3,4.21,,,39.6 in,2023-05-12,277,480,No,TRUE,3.47,3530,,,199,298,3039,34,,,3.47,3530,199,298,3039,34,,,1020,1020,4.5,0.995,4,1017,277,0.995,4.1,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3600 DRB_LB 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.46,3600,360,3600,198,,3402,,3600,3.46,3.4,3543,180,3,3360,17,3560,3.41,1040,1040,96.5,0.98,15,1043.5,400,0.99,7.9,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3600 DRB_LB 277V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,277,277,No,TRUE,3.46,3600,360,3600,198,,3402,,3600,3.46,,,,,,,,,1040,1040,91.1,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3600 DRB_LB 347V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,347,347,No,TRUE,3.46,3600,360,3600,198,,3402,,3600,3.46,,,,,,,,,1040,1040,93.2,0.98,15,,,,,,"Power Line Communication, No"
